beer_name,brewery,city,state,style,abv,date,notes,rating,serving_type,venue_name,venue_city,venue_state,venue_country,catalog_beer_id,venue_latitude,venue_longitude
Brother Thelonious,North Coast Brewing,Fort Bragg,CA,Belgian-Style Dark Strong Ale,9.4,2020-03-14,Youtube Video: Chinese x89 Motherboard??? Piledriver or just a pile?,1.5,cask,North Coast Brewing,Fort Bragg,CA,US,f94adaef-ccbf-40cb-af63-60887655b511,39.4464040,-123.8062159
Erebus Coffee Stout,Labrynth Brewery / Daybreak Coffee,Manchester,CT,Stout,5.6,2020-03-04,"Youtube Video: Fixing my $1,150 Gaming PC with a be quiet! Shadow Rock 3",2.5,growler,,,,,6424e8f9-acd4-4795-af8f-1d2d3127b1e7,,
Shrouded Summit Belgian White,Ghostfish Brewing,Seattle,WA,Belgian White (GF),,2020-02-29,Youtube Video: Fractal Define 7 Review - The ultimate home server chassis?,3.25,crowler,,,,,ae2d6ad1-b85e-4575-a1a2-6097b93e2410,,
Organic Chocolate Stout,Samuel Smith's,Tadcaster,UK,Sweet or Cream Stout,5,2020-02-16,Youtube Video: nVidia GRID/Tesla Gaming Server Pt.3... IT WORKS!... kinda...,1.5,draft,Samuel Smith's,Tadcaster,UK,US,ecfb4d9c-c871-4591-a19a-9325dbab7b36,,
Furious IPA,Surly Brewing,Brooklyn Ctr,MN,IPA,,2020-02-16,Youtube Video: $1150 Gaming PC Build... mistakes were made.,4.75,bottle,,,,,ed7ddcc2-844b-4af0-a65d-d71bbe21a7d4,,
Lilith's Brethren,Anchorage Brewing,Anchorage,AK,IPA,,2020-01-28,Youtube Video: BEST Gaming Monitor Under $500??? - BenQ EX2780Q 1440p Monitor Review,4.75,crowler,Craft & Barrel,Seattle,WA,US,,47.6038321,-122.3300620
Juice Jr,Great Notion Brewing,Portland,OR,IPA,6.0,2020-01-22,Youtube Video: Threadripper Video Editing Rig Upgrade... Two Years Late...,2.75,growler,,,,,,,
Brown Shuga',Lagunitas Brewing,Petaluma,CA,Brown Ale,10.0,2020-01-20,Youtube Video: EVGA RTX 2060 KO. Ray Tracing for less than $300?,2.5,growler,The Hop Yard,Buffalo,NY,US,8c9a9ad4-7496-4c39-b1a6-0b2d69e5e014,42.8864163,-78.8781493
Stone Enjoy By 01.01.20,Stone Brewing,Escondido,CA,Unfiltered IPA,9.6,2020-01-02,Youtube Video: ProxMox and FreeNAS C-C-C-COMBO SERVER! With a bit of Chinese x79...,4.0,can,The Pour House,Bend,OR,US,c1c21bae-b982-4c23-8701-03c305b0361f,44.0581728,-121.3153096
Total Domination,Ninkasi Brewing,Eugene,OR,Double IPA,,2019-11-17,Youtube Video: I'm back! Asus ROG Strix 5700 Review,4.75,cask,The Beerded Lady,Portland,OR,US,408d4e84-2207-4689-9176-93de36a09a24,45.5202471,-122.6741940
Cherry Lemon Sour Ale,Wild Ride Brewery,Redmond,OR,Sour Ale,5.6,2019-09-29,Youtube Video: A New Challenger! DeepCool Assassin III vs Noctua vs be quiet!,2.5,crowler,Wild Ride Brewery,Redmond,OR,US,7f770655-ca98-4e65-98be-b66908869949,44.2740500,-121.1728980
Nitro Irish Stout,Kells Brewery,Portland,OR,Stout,4.2,2019-09-18,Youtube Video: Fractal Design Vector RS Review,4.25,growler,,,,,,,
Stone Farking Wheaton W00tstout (2019),Stone Brewing,Escondido,CA,Imperial Stout,,2019-09-10,Youtube Video: Ryzen 3700X + 1080 Ti Gaming Build. And maybe some RGB...,2.5,crowler,,,,,0bd9155e-fa72-4a75-962f-ca91b8ad1fb3,,
Red on Rye BA Red Ale,Lompac Brewing,Portland,OR,BA Red Ale,6.0,2019-09-02,Youtube Video: I have lost my mind... nVidia GRID/Tesla Gaming Server,4.5,growler,Lompac Brewing,Portland,OR,US,,45.5202471,-122.6741940
Pale to the People,Level Beer,Portland,OR,Pale Ale,,2019-08-18,Youtube Video: Ryzen 5 2600 to 3600 Upgrade - Worth it?,2.75,can,Draft Republic,San Diego,CA,US,677ebb1b-844a-42c1-bf5b-4eb567bb809f,33.1245356,-117.3243667
Upper Left NW IPA,Old Town Brewing,Portland,OR,IPA,6.3,2019-08-10,Youtube Video: $130 for this? AverMedia Live Gamer Mini Review,5.0,growler,Sullivan's Taphouse,Portland,OR,US,e71fd287-1224-47a2-ab52-2b7d32b31ddc,45.5202471,-122.6741940
Two Hearted Ale,Bells Brewery,Comstock,MI,American-Style India Pale Ale,7,2019-08-06,Youtube Video: STAR TREK GAMING DESK!,1.75,draft,Bells Brewery,Comstock,MI,US,63935f3f-9b68-4a26-acaa-c1254d54a0e4,42.2867083,-85.5133374
Sierra Nevada Pale Ale,Sierra Nevada,Chico,CA,Pale Ale,5.60,2019-07-04,"Youtube Video: YOU'LL GET CAUGHT UP IN THE....... CROSSFIRE! And Chinese X79, too!",1.75,cask,,,,,0006152e-b186-4c2b-9f58-b902fe52983e,,
Play it Again Dry-hopped Pilsner,Level Beer,Portland,OR,Pilsner,,2020-08-23,Youtube Video: Best Looking AIO EVER!!! DeepCool GamerStorm Castle 240EX Review,4.0,draft,,,,,3a1cd9f9-e09e-44b2-a8de-5c33c5b3cbcb,,
Holy Moley,The Alchemist,Stowe,VT,Imperial or Double India Pale Ale,7.8,2019-06-21,Youtube Video: Pro-level WiFi at Home - Ubiquiti Unifi NanoHD Review,4.75,cask,The Alchemist,Stowe,VT,US,86c9b561-3271-4bd0-9fec-eb19d8d04e5f,44.4759924,-72.7155626
Winter Wheat Ale,Bells Brewery,Comstock,MI,Belgian Wheat,,2019-06-07,Youtube Video: What is RAID???,3.75,can,The Local,Eugene,OR,US,,44.0505054,-123.0950506
Twilight Summer Ale,Deschutes Brewing,Bend,OR,American-Style Pale Ale,5,2019-06-01,Youtube Video: Retro-style Pixel Art Screen! Divoom Tivoo Review,2.0,bottle,Deschutes Brewing,Bend,OR,US,a1a8f61c-994a-4da2-a779-eb7408726304,44.0467358,-121.3220544
Weizen,Westphalener,Marsberg,Germany,Hefeweizen,,2019-05-30,"Youtube Video: GTX 1650 Revisit - I was accurate, but wrong...",1.75,cask,,,,,,,
Doublecross Dark Belgian-Style Ale,Crux Fermentation Project,Bend,OR,Belgian Dark Ale,,2019-05-24,Youtube Video: InWin RS212 Temperature Testing,5.0,draft,,,,,97d9cd30-983a-425c-8cc4-953839af7457,,
Game On IPA,Level Beer,Portland,OR,IPA,6.5,2019-05-17,Youtube Video: Active Noise Canceling Wireless Headphones for $59??? - Friday Flights,2.5,can,Sullivan's Taphouse,Portland,OR,US,,45.5202471,-122.6741940
Bonus Track: 7,Foam Brewing,Burlington,VT,Hazy IPA,6.5,2019-05-12,Youtube Video: Shhh... be quiet! Dark Base Pro 900 Rev.2 Review,4.25,bottle,Foam Brewing,Burlington,VT,US,cbefda3e-b269-40c7-8082-c54b58809a27,44.4761601,-73.2129060
Rev It Up Stout,Ratchet Brewing,Salem,OR,Stout,5.8,2019-05-05,"Youtube Video: Great performance, Little Package - Scythe Big Shuriken 3 Review",2.75,cask,,,,,492087e2-162e-49e0-a3d9-909e8013d955,,
Uff-da,New Glarus Brewing Co,New Glarus,WI,Traditional German-Style Bock,6.8,2019-04-20,Youtube Video: Server Room Build Part 2!!! Virtualization Server Build!,1.5,draft,Craft & Barrel,Seattle,WA,US,ac049545-66c6-4f3a-be46-bb9ad0de3a3b,47.6038321,-122.3300620
Bubble Stash IPA,Hop Valley,Eugene,OR,IPA,6.2,2019-04-13,Youtube Video: Noctua NH-U12A - Most Impressive,4.0,crowler,,,,,,,
Rhodes' Scholar Stout,South Shore Brewery,Ashland,WI,American-Style Stout,5,2019-04-09,Youtube Video: InWin A1 Plus... It's bigger on the inside,4.25,crowler,South Shore Brewery,Ashland,WI,US,a4b3fb43-db05-47e7-8986-2f282ecd2904,46.5873308,-90.8923551
Bridgeport IPA,Bridgeport Brewing,Portland,OR,IPA,,2019-04-06,Youtube Video: Brand New Addressable RGB Fan Kits!,3.0,draft,The Taproom,Portland,OR,US,1f73bfc0-22a1-4543-a8e7-3320ffc2c5ef,45.5226257,-122.6903512
